,Title,Job Description,Compnay Name,Location,Degree Type,Skills
312,Territory Sales Manager,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionblume nigeria limitedis a privately owned international trading and distribution company. our management has many years experience in the fields of production, importing and distributing of foods products. blume is a member of sonia foods industries limited, the manufacturer of sonia food products.we are recruiting to fill the following positions below sales promoter (lagos) salary: n40,000 – n100,000 monthly.deadline: 15th november, 2021. sales promoter (oyo) deadline: 10th november, 2021.  modern market sales promoter location: lagosdeadline: 10th november, 2021. assistant sales coordinator location: lagosdeadline: 10th november, 2021.don't keep! kindly share:",Blume Nigeria Limited,Lagos,"mpa, ma, nce","Microsoft office programs, Consumer sales technique, Sales planning, Analytics, Multitasking."
313,Sales Officer,"*vacancy!!!* our client, an internet service provider (isp)  with branches all over the nation, is recruiting to fill the position below:location *abuja* job title: *sale manager (fixed line)* salary: 300k *duties and responsibilities:* • work with director of sales on marketing plan •conduct sales meetings with clients •developing sales pitches and materials using self-conducted market analysis • cold calling in designated coverage cluster • generate leads and manage funnel of hot/warm/cold calls for sales  •develop, build, and manage a client base • handle the sales process at each stage from quote to purchasing to fulfillment and follow up  *requirements* • bachelor’s degree in business administration, business management, statistics or a related field. • proven experience in telecom/isp/ • minimum of 5 years in a supervisory position •proven track record of increasing sales and revenue; field sales experience is preferred 5) ability to develop sales strategies and use performance kpis• proficient in ms excel/word, ppt 7) excellent )• senior person with over 5years experience from ipnx or isn, telecom/isp industry will be added advantage.qualified candidates should forward cvs using the subject and location to lorachevacancy@gmail.com",LORACHE CONSULTING,Abuja,"ond, ma, bachelor, nce","Product knowledge, Business communication, Social selling, Conflict management and resolution, Client engagement."
314,Investor Relation Manager,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionprowedge limited is currently recruiting suitably qualified candidates on behalf of its clients in various sectors to fill the following positions below graphic design intern location: lagossalary: n30,000 – n80,000 monthly.deadline: 26th november, 2021. investor relations manager location: lagosdeadline: 26th november, 2021. admin supervisor location: lagosdeadline: 18th november, 2021. elementary (primary school) teacher location: lagosdeadline: not specified. college (secondary school) english language / literature-in-english teacher location: lagosdeadline: not specified. special needs therapist location: lagosdeadline: not specified. college principal location: lagosdeadline: not specified. driver location: lagosslot: 4 openingsdeadline: 16th november, 2021. caregiver location: lagosslot: 4 openingsdeadline: 16th november, 2021. school nurse location: lagosslot: 4 openingsdeadline: 16th november, 2021. accountant location: lagosslot: 4 openingsdeadline: 16th november, 2021.don't keep! kindly share:",Prowedge Limited,Lagos,"ond, mpa, ma","Data analysis, Presentation and visualization, Information collection, Financial modeling, Equity research."
396,Administrative assistant,"we are looking for a master multi-tasker with excellent communication skills and an upbeat attitude. candidates should be able to assist management and all visitors to the company by handling office tasks, providing polite and professional assistance via phone, mail, and e-mail, making reservations or travel arrangements, and generally being a helpful and positive presence in the workplace.to be successful as an administrative assistant, candidates should be professional, polite, and attentive while also being accurate. they should always be prepared and responsive, willing to meet each challenge directly. administrative assistants must be comfortable with computers, general office tasks, and excel at both verbal and written communication. most importantly, administrative assistants should have a genuine desire to meet the needs of others.administrative assistant responsibilitieshandling office tasks, such as filing, generating reports and presentations, setting up for meetings, and reordering supplies.providing real-time scheduling support by booking appointments and preventing conflicts.making travel arrangements, such as booking flights, cars, and making hotel and restaurant reservations.screening phone calls and routing callers to the appropriate party.using computers to generate reports, transcribe minutes from meetings, create presentations, and conduct research.greet and assist visitors.maintain polite and professional communication via phone, e-mail, and mail.anticipate the needs of others in order to ensure their seamless and positive experience.administrative assistant requirementsond/hnd/bsc in a related field.prior administrative experience.excellent computer skills, especially typing.attention to detail.desire to be proactive and create a positive experience for others.job originally posted on grabjobs. if you need to report this job please contact grabjobs",Delacrust Consult,Bayelsa,"ma, hnd, ond, mpa, bsc, nce","IT Operations,IT Management, Business Management"
397,Cashier,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionnennetworks – our client, a renowned fmcg company known for providing fast food services across lagos state, is recruiting to fill the position belowjob title: cashierlocation: ajah, lagosemployment type: full-timeresponsibilitiesmanage transactions with customers using cash registersscan goods and ensure pricing is accuratecollect payments whether in cash or creditissue receipts, refunds, changes or ticketsredeem stamps and couponscross-sell products and introduce new onesresolve customer complaints, guide them and provide relevant informationgreet customers when entering or leaving the storemaintain clean and tidy checkout areastrack transactions on balance sheets and report any discrepanciesbag, box or gift-wrap packageshandle merchandise returns and exchanges. requirementsssce / ond with 1 – 2 years of works experience.work experience as a retail cashier or in a similar role in salesbasic pc knowledgestrong communication and time management skillscustomer satisfaction-oriented.salaryn30,000 – n40,000 monthly.application closing date30th november, 2021.don't keep! kindly share:",NENnetworks,Lagos,"ma, ssce, ond, n cle, mpa, ma, nce","Point Of Sale(POS) Systems, Multitasking, Basic Maths skills, Efficiency, Product Knowledge"
401,Social Media Coordinator,"the ideal candidate will create and maintain a strong online presence for our company. they will implement online marketing strategies through social media accounts in an effort to increase brand awareness. additionally, this individual will understand the target audience and create an appropriate strategy to reach this group.  responsibilitiesresearch target audience and discover current trendscreate engaging text, video, and image contentdevelop optimal posting scheduleshould be able to travel back and forth to victoria island qualificationsbasic graphic designing skillsexperience as a social media coordinatorstrong communication, multitasking, time management and analytical skills",SocialTraction,Lagos,"ma, mpa, nce","Social content management systems,analytical,project management,graphic designing"
410,Digital Transformation Manager,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionalert microfinance bank is a leading financial service provider with the core mandate of providing affordable, flexible financial and non-financial services to micro-entrepreneurs in nigeria.we are recruiting to fill the following positions below digital transformation manager – fintech location: lagosdeadline: 25th august, 2021. experienced loan marketer location: lagosdeadline: 25th august, 2021. compliance manager location: lagosdeadline: 25th august, 2021. recovery officer location: lagosdeadline: 23rd august, 2021. head of fintech location: lagosdeadline: 23rd august, 2021.don't keep! kindly share:",Alert Microfinance Bank,Lagos,"mpa, ma, nce","Information Systems,Computer Science, project management,business management,"
412,Customer Support Officer,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionpadua petroleum nigeria limited is an indigenous company established to provide a unique range of services to the nigerian oil and gas industry. we venture into this industry with the objective of building on existing limited in- country capacity. in view of the enormous opportunities which abound in the oil and gas industry in nigeria and the new findings in other african countries, there is need for more indigenous players to fill the yawning gap by providing competitiveness and quality service delivery to the industry.we are recruiting to fill the position belowjob title: customer support officerlocation: lagosjob descriptionjob description of customer support personnelshall include but not limited to the following:register prospective suppliers and companies to published status;send the log-in details as well as instructions on how to fill and complete the jqs on-line questionnaire;verify supplier submitted questionnaire and provide further assistance by supplier support, if necessary;review and process renewal requests and product code addition requests of suppliers.provide help desk to suppliers on registration matters; andwrite report on suppliers published.education / work experience requirements / skillsminimum of b.sc or hnd with good customer service skills/trainingmust have minimum of 5 – 7 years of experience in oil and gas sectorexcellent communications and presentation skills.must be proficient in micro soft office suites such as word, excel, powerpoint etc.application closing date5th october, 2021.don't keep! kindly share:",Padua Petroleum Nigeria Limited (PPNL),Lagos,"ma, hnd, b.sc, mpa, nce","Customer service,call management, Order handling, Record keeping,Customer support, CRM systems,"
413,Customer Service Manager,"henkel is for those who step up. do you?at henkel, you can make a difference and craft your career. that’s why you own your projects and take full responsibility from an early stage. our unique brands in markets around the world open up countless opportunities to follow your convictions and explore new paths. if you have an entrepreneurial mindset that allows you to always think out of the box - take the chance and shape the digital future together with us. your role  manages customer complaints and delivery satisfying customer service steers the management of orders from creation to invoicing, including customer negotiation ensures high quality and efficiency of cs processes, steers and monitors service kpis of cs acts as point of contact between customers and internal functions (marketing, pd, quality, management etc.) maintains high level services and improves planning accuracy, incl. new customers implementation identifies and improves department bottle necks systematicaly develops teams and talent in the respective customer service organisation   your skills bachelors degree minimum of 7 years' work experience in supply chain management",Henkel,Ibadan,"ma, bachelors, ma, nce","IT,MS Excel,MS Word,"
416,Office clerk,"responsibilitiesrecord minutes of meetings and transcripts.answer the telephone, distribute messages, and redirect calls to the appropriate department.maintain company files and records to ensure they remain updated.manage basic bookkeeping duties.prepare and mail bills, contracts, and invoices.help with office management and organization processes.track inventory of office supplies and inform the management about any shortages.plan and book travel arrangements and venues for company events.schedule meetings and plan various department activities and calendars.requirementshnd,ond,bscjob originally posted on grabjobs. if you need to report this job please contact grabjobs",Standard Diamond Consult,Bayelsa,"ma, hnd, ond, mpa, bsc","Microsoft Excel,Microsoft Word,Microsoft Outlook,Microsoft Powerpoint,QuickBooks,Slack"
418,Office Clerk,"responsibilitiesrecord minutes of meetings and transcripts.answer the telephone, distribute messages, and redirect calls to the appropriate department.maintain company files and records to ensure they remain updated.manage basic bookkeeping duties.prepare and mail bills, contracts, and invoices.help with office management and organization processes.track inventory of office supplies and inform the management about any shortages.plan and book travel arrangements and venues for company events.schedule meetings and plan various department activities and calendars.requirementsond / hnd / bsc.communication and organizational skills.multi-tasking abilities.job originally posted on grabjobs. if you need to report this job please contact grabjobs",Orlean Investment,Bayelsa,"ma, hnd, ond, mpa, bsc","Computer skills, Microsoft Word, Excel, Powerpoint, Corel draw"
419,General Manager,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionkpmg nigeria – our client is a digital bank that offers peer-to-peer payments and integrated third-party services that is relevant to a diverse group of individuals with a goal to continue creating convenient experiences that allow people understand money.they are recruiting to fill the position ofjob title: general manager location: lagosemployment type: full timejob descriptionour client is looking to engage the services of a general manager, who will develop the organization and will be responsible for accelerating the growth of the company’s portfolio.skills and capabilitiesconduct all affairs and activities of the company within a framework determined by its corporate mission, strategies and overall policies.manage different clients and stakeholders and rapidly develop a strong and beneficial relationship network at strategic levelscoordinate with the board of directors, and corporate stakeholders to provide routine updates on business performance and collaborate with corporate stakeholders to accelerate strategic prioritiescreate, design and refine strategies and plans to deliver optimal results in business performance.qualificationsbachelor’s degree in business administration or related discipline from a reputable universitymba or a relevant master’s degree in any discipline will be an added advantagerelevant professional qualificationsminimum of 15 years relevant experience with 7 years in a senior/ executive management positioninternational exposure/ background is an added advantageexperience in business planning, resource allocation and p & l optimizationexperience setting up/ working in a fintech environmentability to design strategies and set goals for growthdemonstrable experience in developing strategic and business plansexcellent organizational leadership, negotiation and strategic networking skillsstrong decision-making capability.application closing datenot specified.don't keep! kindly share:",KPMG Nigeria,Lagos,"ma, bachelor, ond, mba, mpa, ma, nce","Project Management,Business Management,"
420,Shipping and clearing Officer,"·   check the e-form-m status on single window trade system.·   arrangement of shipment documents from purchase department to be sent to the bank, in order to issue pre-arrival assessment report (paar) for the shipment.·   checking the prepare duty letter and authority letter in order to be sent to the bank.·   submit the shipment documents in addition to the paar to the clearing agent, after confirming the clearing agent that will handle the process from the head of department.·   request the assessment notice from the clearing agent before the berthing of the shipment.·   post the proforma invoice on sage or visual dolphine vd software, for the accounting department to receive the purchase order.·   follow up with the bank till they receive the shipment original documents from oversea bank, so they can work on it and release the document to our agent for clearing purposes.·   following up with the bank to generate duty receipt based on the duty letter submitted.·   submit the custom revenue receipt to the clearing agent in addition to the separate original shipment documents, upon receiving it from the bank.·   follow up with clearing agent on daily basis for the delivery of consignment.·   checking of the clearing agent report on daily basisintrested candidate should send cv to ogunmola.bukola@jubailiagrotec.com cc; secretary.ibadan@jubailiagrotec.com",Jubaili Agrotec,Ibadan,ma,"Transport and Logistics, MS Excel,MS Word, Excise HS"
499,Administrative Assistant,"brief we are looking for a responsible administrative assistant to perform a variety of administrative and secretarial tasks. duties of the administrative assistant include providing support to our clients and employees, responding to calls, emails and social media messages, assisting in program planning and managing our company’s general administrative activities.duties-acting as a first point of contact: dealing with correspondence, phone calls, emails and messages.-organize and schedule appointments for clients -respond to all messages and questions clients may have -manage and handle the social media media-provide general support to visitors whether physically or online-maintain contact lists-act as the point of contact for internal and external clients-plan meetings and take detailed minutesrequirements-proven experience as an administrative assistant or office admin assistant-proficiency in ms office (ms excel and ms powerpoint, in particular)-excellent time management skills and the ability to prioritize work-attention to detail and problem solving skills-excellent written and verbal communication skills-strong organizational skills with the ability to multi-task-knowledge of office management systems and procedures",Brainy Educare,Lagos,"ma, ond, mpa, ma, nce","IT Operations,IT Management, Business Management"
500,Graduate HR Intern,"never miss a job update again. company: location: nigeriastate: job type: internship job category:  job descriptionfood concepts plc was incorporated on 6 december 1999 as food concepts & entertainment limited and commenced operations in 2000. the company was converted from a private limited liability company into a public limited liability company and the company’s name was subsequently changed to food concepts plc. by a special resolution dated 10 may 2009.following its incorporation, food concepts secured franchises from reputable south african quick service restaurants operators to manage and operate their brands in nigeria. the company subsequently acquired and developed other brands, such as, the chicken republic, piexpress, butterfield and yum yum.following a corporate restructuring and divestment, the company now owns and operates the chicken republic and piexpress brands as its proprietary food brands. chicken republic is currently trading in 80 locations across nigeria and ghana, it will operate >100 chicken republic restaurants by the end of 2020 and has plans in place to operate >300 stores by the end of 2023.piexpress began trading in 2019 and we presently operate 4 kiosks. we will open another 6 units by the end of the year, with plans in place to operate 150 pie express units by the end of 2023.food concepts also owns a 35.61% stake in food concepts pioneer limited, which continues to hold the butterfield and yum yum brands and runs plant bakeries producing bread, pies, sausage rolls and chin-chin for the mass market.we are recruiting to fill the position belowjob title: hr internlocation: ilupeju, lagosemployment type: nyscjob summaryfood concepts plc is looking to employ an enthusiastic and self driven fresh graduate or nysc corps member to join our team as hr intern.requirementscandidates should possess an hnd / bachelor’s degree qualification.must have passion for hr.good microsoft excel and word skills.must be a fast learner.preferably male for gender balance.benefitsmonthly stipendsfree lunchhmopensionapplication closing date15th september, 2021.don't keep! kindly share:",Food Concepts PLC,Lagos,"ma, bachelor, hnd, mma, mpa, ma, nce","Agile PeopleOps,Agile HR,psyhchology."
501,Senior Lead- Human Resources,"job purposethis is an amazing opportunity for a passionate and talented hr senior lead to innovate alongside a stellar growing people team that is passionate and driven.to be successful in this role, you will take a true partnership approach to your work, thoughtfully balancing the needs of the people team and the broader organization. you will also work collaboratively with hr centers of excellence and hr business partner function to develop and deliver integrated people solutions seamlessly and assist the region as required.responsibilities staff separation and offboardingfollow up on exit documentation preparationsupport on clearance for exited staff and ensure all company equipment is returned and notification to all relevant stakeholderssupport on exit interviews and share monthly report on insights of responses talent acquisition & onboardingcollaborate with the hiring manager on end-to-end recruitment supportsource applicants through online channels, such as linkedin and other professional networksplan interview and selection proceduresmanage onboarding experience for new hires, in partnership with relevant stakeholders medical/gpa/gla/wiba administrationmanage local vendor relationships and slas to optimize operational effectiveness and employee experience as the go-to person for medical, gpa/wiba/glamaintain an up-to-date database of all staff and their dependentssend out and follow up on claims for – maternity benefit, last expense etc.follow up on payment of invoices for the respective covers on timepoint of contact with the insurance brokersend out bi-weekly health related nuggetsliaise with the insurance broker for regular member sensitization sessionsshare monthly metrics/stats on – maternity/paternity benefit applications & payouts: gpa/gla/wiba applications & payouts, no. of additions & deletions (maintain the cost implication) etc.  hr operations supportcreation of new employee records/filessupport employee enrolment for statutory compliance employee wellness/engagement activitiesassist in coordination of all m-kopa wellness activities –medical camps, valentine’s day, fathers & mothers days, csr activities (as and when), support in raha (fun) council activities, ladies & men’s eventseducate tenure staff and new hire staff during onboarding, of medical insurance limits and share “wellness wednesday” bulletins to staff.liaise with the different vendors and assist in follow up of their paymentrequirementsfirst degree in human resources, business administration, or any other related field.4 - 5 years’ relevant work experiencecognate experience as an hr generalistexcellent oral and written communication skillsability to multi-task, set priorities and manage time effectively.proficient in microsoft office package excellent problem-solving and organizational skills.",M-KOPA,Lagos,"ma, n cle, mpa, ma, nce","Humanities, Social Sciences, Administration,Human Resources Management, Business Administration, Public Administration"
503,English and Math Tutor,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionhr leverage africa – our client that is into international education and immigration services, is recruiting to fill the position below:job title: english and math instructorlocations: ikeja and ikorodu – lagosemployment type: part-timerequirementscandidates should possess a bachelor’s degree qualification.ability to teach both english and maths is an added advantagecorp members are accepted.remunerationn30,000 monthly.application closing date7th november, 2021.don't keep! kindly share:",HR Leverage Africa,Lagos,"mpa, ma, bachelor","Communication, Algebra, Geometry, Active Listening, Technical knowledge."
504,Administration Manager,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptioncatilas resources limited is recruiting on behalf of its client, for suitably qualified candidates to fill the position below:job title: administration managerlocation: koko, deltajob type: full timejob profilewe are looking for a competent administration manager to supervise daily support operations of our client’s company and plan the most efficient administrative procedures.you will complete a range of administrative duties in different departments.role objectivethe goal is to ensure all support activities are carried on efficiently and effectively to allow the other operations to function properly.responsibilitiesplan and coordinate administrative procedures and systems and devise ways to streamline processes.ensure the smooth and adequate flow of information within the company to facilitate other business operations.manage schedules and deadlines.monitor inventory of office supplies and the purchasing of new material with attention to budgetary constraints.monitor costs and expenses to assist in budget preparation.oversee facilities services, maintenance activities and tradespersons (e.g electricians)organize and supervise other office activities (e.g., event planning)ensure operations adhere to policies and regulationskeep abreast with all organizational changes and business developmentscreating, updating, and maintaining records and databasesupdating office policies and procedurespreparing reports on expenses, office budgets, and other expendituressupporting department managers, staff, and ceo.requirementsrequired education / qualification:bsc / ba in business administration or relative field.required experienceminimum of 5 years of relevant experience in the oil and gas sector.required skillsexcellent written and verbal communication skills.excellent time management skills; ability to prioritizewillingness to learn and to grow with the company and motivated to take on additional projects and solve problems.self-directed and able to work without supervision.comfortable in both a leadership and team-player role, manage team members, and supervises when needed.familiarity with financial and facilities management principles.proficient in ms office.an analytical mind with problem-solving skills.excellent organizational and multitasking abilities.a team player with leadership skills.benefitssalary: competitive.application closing datenot specified.don't keep! kindly share:",Catilas Resources Limited,Delta,"bsc, mpa, ma, nce","Business Administration, Management, MS Office,Administration"
506,HR Officer,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionhartleys supermarket and stores – the place of choice for a wide variety of fresh meats and produce and other quality groceries. here at hartley’s, we are driven by a lifelong commitment to delivering healthy food selections at affordable prices in a refreshingly clean and organized shopping environment.we remain true to our tagline “smiles in every aisle” because, for us, it is personal. that’s why we go above and beyond to offer quality products and outstanding service to the people who matter most – you, our customers.we are recruiting to fill the position belowjob title: hr officerlocation: victoria island, lagosemployment type: full-timejob descriptionprovide technical support to the team leads and head, human resources & corporate services (hrcs) in the implementation of approved procedures and policies with respect to staff welfare, performance management, learning & development and other hr-related matters.maintain adequate records and information for all employees of the company. ensuring data integrity and optimizing hris.provide support and hr analytics to the hr team and ensuring good employee relations.design and conduct orientation and onboarding programmes for new employees.document new staff and keep an accurate and up to date database of staff information.hr administration and operations: manage staff leave and absenteeism, disciplinary proceedings, attend to staff welfare (hmo, pension, nhf and other benefits or requests)coordination of in-house training programmes, induction and other approved external programmes in the training plan.collating, recording and analyzing performance management information and resultsresponsible for hr reporting and analyticsability to execute hr projects as assignedqualificationsb.sc / hnd in human resources management, business administration, or any other social science-related course.1 – 2 years post nysc cognate experience in hr operations.certification in human resource management will be an added advantage.working knowledge of relevant national labour laws.proficiency in the use of microsoft excel is a must.proficiency in the use of hris and other hr softwarerequired skillsanalytical skillsproject managementresult-driven.application closing datenot specified.don't keep! kindly share:",Hartleys Supermarket & Stores,Lagos,"ma, hnd, b.sc, mea, ond, mpa, ma, nce","CHR, SHRM, CIPD, Microsoft Office applications, Human Resources Management, Benefits Administration"
507,Assistant Accountant,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionpadua petroleum nigeria limited (ppnl) is an indigenous company established to provide a unique range of services to the nigerian oil and gas industry. we venture into this industry with the objective of building on existing limited in- country capacity. in view of the enormous opportunities which abound in the oil and gas industry in nigeria and the new findings in other african countries, there is need for more indigenous players to fill the yawning gap by providing competitiveness and quality service delivery to the industry.we are recruiting to fill the position belowjob title: assistant accountantlocation: lekki, lagosemployment type: full-timeduties and responsibilitiesmanaging day-to-day accounting transactions as supervised by the senior accountant.ensure timely preparation and submission of vat and other tax returns at the regulatory bodies.preparation and submission of invoices to clients for services rendered and follow up on payments.oversee the collection, deposit, and reconciliation of bank funds and accounts as supervised by the senior accountant.prepares and keep records of assets, liability, revenue, and expenses entries by compiling and analyzing account information.ensures that all expenses are supported by a completed payment voucher upon request.auditing financial information.recording office expenditures and ensuring those expenses are within the set budget.assisting the senior accountant in the management of ppnl and subsidiaries account.payment and filing of sales tax (vat) per expenditure vouchers for approval.processing of other related payments to vendors and contractors.assists the senior accountant in the development and maintenance of sound financial control across the company operation.assist the senior accountant in the preparation of annual budgets and income-expenditure accounts.collaborate with accounts and finance manager to ensure smooth running of an organization’s accounts departmentoversees account payables and receivables under the supervision of the senior accountant.payment of various company utility bills and sundry expenses to the relevant agency at the appropriate time and ensure it is well documented.management of company inventory and stock items.follow up on payment of invoices as per agreement with clients, contractors, jv partners, vendorsassists with financial and tax audits (provide financial source documents and other relevant information to external auditor to aid the audit process).carries out other duties as may be assigned by the senior accountant.key performance indicatorskeen attention to detailsturnaround time in preparation and submission of invoices to clients.low vendor expenses rate100% performance in external audit examinationszero non-compliant cases raised by the regulatory bodies.effective and efficient inventory stock management.education and/or work experience requirements / skillsbachelor’s degree or hnd in accounting or any finance related field.2 to 5 years hands on experience in similar position.ican/ats certification will be an added advantage.should have a proven experience as an assistant accountant or junior accountant.thorough knowledge of basic accounting procedures.knowledge of finance, accounting, budgeting and cost control principles.in-depth understanding of the company’s business.ability to analyze financial data and prepare financial reports, statements and projections.ability to handle financial information with discretion and confidentialityexperience with general ledger functions and the month-end/year-end close process.advanced ms excel skills including vlookup and pivot tables is desirable.accuracy and attention to detail.aptitude for numbers and quantitative skills is a must.excellent communications and presentation skills.must be proficient in micro soft office suites such as word, excel, powerpoint etc.application closing date21st september, 2021.don't keep! kindly share:",Padua Petroleum Nigeria Limited,Lagos,"ma, bachelor, hnd, mpa, nce","ICAN,ACCA,Acoounting,Finance,Accounting Packages"
508,Junior Process Engineer,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionbuhler is the global specialist and technology partner in the supply of plants and services for processing grains and food, consumer foods as well as for manufacturing advanced materials.we are recruiting to fill the position ofjob title: junior process engineer – flour millinglocation: ikeja, lagosemployment type: permanent, 100%responsibilitiesacquire the required skill and mindset as well as industry networks to support our nigerian milling technology departmentsupport in technological sales and services for internal and external customers in west africa.mill commissioning of new wheat, maize and sorghum/millets mills, retrofits, and plant upgrades.evaluate and audit customers mills on a regular basis.develop plant concept and flowsheet design.prepare plant audits, analyze findings and concise audit reports.support customer trainings in mill operations, quality control and efficiency improvement.support for build-up buhler grain application center kano (maize, sorghum, millets, local wheat, fonio, soya, beans, etc.).assist in conducting and analysing application tests in close collaboration with internal and external partners (new grains, new/simplified processes, new finished products).promote application center in the market and guarantee full utilization with trainings and application tests.support marketing and sales activities in relation to grain application center.work within the companies ehs policies and promote the same.support stock control and reconciliation within all aspects of the operation.any other related assigned tasks.required qualificationsbachelor’s degree in engineering (preferably mechanical / electrical engineering, mechatronics, industrial engineering, chemical engineering, food engineering).advanced nabim qualification or above, haccp and ipm certification is an advantage.miller qualification (swiss milling school, african milling school or alike) is an advantage.preferred qualificationsprior work experience as a junior miller.fluent communication skill in english & french.proven record in (technical) sales support.excellent written and oral communication skills, including the ability to interface effectively with internal and external stakeholders.computer literate with a good understanding of ms office and business management systems inclusive of warehouse management systems.excellent problem-solving skills.proven ability to work in a matrix organization.benefitsinternational and successful company with sustainable prospects for the future.wide technically and modern environment with interesting challenges.professional environment with an open communication culture.exciting development and training opportunities.great and dynamic work environment.application closing datenot specified.don't keep! kindly share:",Buhler Nigeria,Lagos,"ma, bachelor, ond, mpa, nce","Mechanical Egineering,Electrical Engineering, Mechatronics, Industrial Engineering, Chemical Engineering, Food Engineering,Advanced NABIM,HACCP,IPM certification"
509,Junior Audit Officer,"main responsibilities(1) planning activities :·  to contribute to the risk assessment and the design of the audit plan.2.      core audit activities : · to participate in the conduct of internal audit missions in line with the audit plan· to participate in special audit missions as may be required by the managing director or the audit committee· to apply internal audit standards and advans audit methodologies in the course of his/her duties, in order to produce audit programs and working papers including a relevant and sufficient documentation of the audit activities.· to participate in the follow-up of the implementation of internal audit recommendations and, where applicable, of recommendations made by regulators or external auditors.· when deemed necessary, to assist in examining new or updated systems and related procedures prior to their implementation to prevent possible deficiencies in the internal control system.3.      reporting activities : · to participate in the preparation of mission reports and deliver them to his/her supervisor, to obtain management responses and to review these answers before submission to his/her supervisor.· to contribute to the preparation of audit activity reports and other reports on a regular basis for submission to the audit committee and the advans group internal auditor.person specification:qualification/education: b.sc/ b.sc (ed)/ hnd in accounting or related discipline, with aca or partly qualified.work experience: minimum of 2 years verifiable experience as internal or external auditor.skills: high-level proficiency in written and spoken english; good knowledge of word processing; proven spreadsheet skills; good interpersonal relations skills. personal traits:meticulous, open-minded, autonomous and fast learner.",Advans Nigeria,Lagos,"ma, hnd, b.sc, ond, nce","SAP,ERP Systems, Finance,Accounting"
510,Administrative Officer,"job description admin managersmarterise is an energy analytics company that uses cutting edge technologies to help our customers save costs and reduce co2 emissions. we are looking for an all-rounder for this role, to join our team. what you need to be great at1. multi-tasking 2. human resource management 3. communication in written and verbal form an hr background or legal one can be a good fit, but if you think you fit the bill, you should apply.the role1. implement organisation planning & tracking: ensuring deadlines are met 2. create a general workflow 3. assist in recruitment and onboarding 4. budgeting 5. filing 6. and other related needs that arise from work needs. preferred qualifications & experience 1. 3+ years relevant experience 2. experience planning and leading strategic initiatives 3. experience with budget management 4. proven success in a project coordination role 5. strong project reporting skills 6. solid knowledge of ms office/google workspace tools if you think you’re a great fit for the role, you can apply with a few lines explaining why you may be a great fit.",Smarterise,Lagos,"ma, ma, mpa, nce","Business Administration,Social Sciences,Economics, Accounts"
513,Graduate Management Trainee,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionfood concepts plc was incorporated on 6 december 1999 as food concepts & entertainment limited and commenced operations in 2000. the company was converted from a private limited liability company into a public limited liability company and the company’s name was subsequently changed to food concepts plc. by a special resolution dated 10 may 2009.following its incorporation, food concepts secured franchises from reputable south african quick service restaurants operators to manage and operate their brands in nigeria. the company subsequently acquired and developed other brands, such as,chicken republic,piexpress, butterfield and yum yum.following a corporate restructuring and divestment, the company now owns and operates the chicken republic and piexpress brands as its proprietary food brands.chicken republic is currently trading in 80 locations across nigeria and ghana, it will operate >100 chicken republic restaurants by the end of 2020 and has plans in place to operate >300 stores by the end of 2023.piexpress began trading in 2019 and we presently operate 4 kiosks. we will open another 6 units by the end of the year, with plans in place to operate 150 pie express units by the end of 2023.food concepts also owns a 35.61% stake in food concepts pioneer limited, which continues to hold the butterfield and yum yum brands and runs plant bakeries producing bread, pies, sausage rolls and chin-chin for the mass market.we are recruiting to fill the position belowjob title: graduate management traineelocations: omole, ikeja city mall, ogba, magodo, opebi, agidingbi, berger, yaba, igando and alimosho – lagosqualificationsshould possess b.sc / hnd in any related fieldminimum of first degree or higher national diploma with 5 credits o’l including mathematics and english language.must have completed or exempted from nysc.application closing date25th october, 2021.don't keep! kindly share:",Food Concepts PLC,Lagos,"ma, hnd, b.sc, mpa, ma, nce","MS Office, accounting,business management,"
514,Nutritionist,"we are searching for an experienced and energetic nutritionist to join our team. in this position, you will provide our clients with professional advice on how to implement and maintain a healthy lifestyle. as a specialist in food and nutrition, our clients will depend on you to guide them towards better eating and exercise habits.about the company:leadwell outsourcing is committed to providing world class professional services in human resources tailored to consistently exceed the expectations of our clients by providing a distinctively cohesive team of specialized human resource managers and thoughtful leaders. our clients can be sure of significantly reducing their costs, increasing efficiency and productivity through our array of hr services..shift information:weekdays 9-3pmsalary range:not providedapply now for instant chat interview on grabjobslooking forward to your job applicationjob originally posted on grabjobs. if you need to report this job please contact grabjobs",Leadwell Outsourcing,Bayelsa,"ma, msa, mpa, nce","Nutrition,Dietetics,Registered with Local Authorities,Current Practising Certificate"
